"id","data_inversa","br","municipio","tipo_acidente"
"261884","1/10/2020","40","RIBEIRAO DAS NEVES","Colisão transversal"
"261908","1/10/2020","381","CAMBUI","Saída de leito carroçável"
"261927","1/10/2020","365","BURITIZEIRO","Saída de leito carroçável"
"261931","1/10/2020","459","POUSO ALEGRE","Colisão transversal"
"261936","1/10/2020","364","PLANURA","Colisão frontal"
"261944","1/10/2020","262","MANHUACU","Colisão traseira"
"261947","1/10/2020","116","MANHUACU","Saída de leito carroçável"
"261950","1/10/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"261959","1/10/2020","40","RIBEIRAO DAS NEVES","Atropelamento de Pedestre"
"261983","1/10/2020","365","PATROCINIO","Saída de leito carroçável"
"261990","1/10/2020","116","CARATINGA","Colisão lateral"
"262011","1/10/2020","116","DOM CAVATI","Atropelamento de Pedestre"
"262013","1/10/2020","262","BETIM","Colisão frontal"
"262030","1/10/2020","459","CONGONHAL","Colisão frontal"
"262031","1/10/2020","381","ITATIAIUCU","Saída de leito carroçável"
"262041","1/11/2020","251","GRAO MOGOL","Colisão frontal"
"262043","1/11/2020","262","ARAXA","Saída de leito carroçável"
"262048","1/11/2020","356","EUGENOPOLIS","Saída de leito carroçável"
"262053","1/11/2020","153","CAMPO FLORIDO","Colisão transversal"
"262054","1/11/2020","262","UBERABA","Colisão traseira"
"262083","1/11/2020","381","BETIM","Tombamento"
"262100","1/11/2020","365","UBERLANDIA","Colisão lateral"
"262102","1/11/2020","40","PARACATU","Colisão transversal"
"262104","1/11/2020","50","UBERABA","Saída de leito carroçável"
"262111","1/11/2020","381","BETIM","Colisão lateral"
"262116","1/11/2020","116","TEOFILO OTONI","Colisão lateral"
"262117","1/11/2020","381","OLIVEIRA","Saída de leito carroçável"
"262122","1/11/2020","381","JOAO MONLEVADE","Saída de leito carroçável"
"262124","1/11/2020","381","CAMBUI","Saída de leito carroçável"
"262125","1/11/2020","381","BETIM","Colisão traseira"
"262135","1/11/2020","459","SANTA RITA DE CALDAS","Colisão com objeto estático"
"262139","1/11/2020","40","PARAOPEBA","Saída de leito carroçável"
"262159","1/11/2020","40","ESMERALDAS","Colisão traseira"
"262166","1/11/2020","381","BELO HORIZONTE","Engavetamento"
"262172","1/11/2020","40","NOVA LIMA","Colisão traseira"
"262186","1/11/2020","40","CONTAGEM","Colisão transversal"
"262197","1/11/2020","251","FRANCISCO SA","Saída de leito carroçável"
"262213","1/11/2020","381","IGARAPE","Colisão com objeto estático"
"262219","1/11/2020","116","MURIAE","Capotamento"
"262255","1/12/2020","381","LAVRAS","Colisão com objeto estático"
"262259","1/12/2020","40","JUIZ DE FORA","Saída de leito carroçável"
"262276","1/12/2020","459","CALDAS","Atropelamento de Pedestre"
"262277","1/12/2020","381","SABARA","Saída de leito carroçável"
"262279","1/12/2020","381","BETIM","Saída de leito carroçável"
"262294","1/12/2020","381","BELO HORIZONTE","Colisão traseira"
"262297","1/12/2020","365","PATROCINIO","Colisão traseira"
"262299","1/12/2020","40","CAETANOPOLIS","Tombamento"
"262302","1/12/2020","116","ITAOBIM","Colisão frontal"
"262311","1/12/2020","50","ARAGUARI","Queda de ocupante de veículo"
"262321","1/12/2020","251","FRUTA DE LEITE","Tombamento"
"262334","1/12/2020","116","ENGENHEIRO CALDAS","Colisão transversal"
"262339","1/12/2020","116","SANTA BARBARA DO LESTE","Colisão transversal"
"262341","1/12/2020","381","CARMO DA CACHOEIRA","Tombamento"
"262348","1/12/2020","381","BETIM","Incêndio"
"262355","1/12/2020","262","UBERABA","Colisão lateral"
"262366","1/12/2020","365","UBERLANDIA","Capotamento"
"262380","1/12/2020","381","ANTONIO DIAS","Colisão frontal"
"262391","1/12/2020","381","ITAPEVA","Colisão com objeto estático"
"262393","1/12/2020","116","CARATINGA","Colisão frontal"
"262394","1/12/2020","116","ENGENHEIRO CALDAS","Saída de leito carroçável"
"262399","1/12/2020","40","JUIZ DE FORA","Colisão lateral"
"262416","1/12/2020","40","JOAO PINHEIRO","Saída de leito carroçável"
"262417","1/12/2020","40","SIMAO PEREIRA","Colisão traseira"
"262431","1/12/2020","381","BETIM","Colisão traseira"
"262448","1/12/2020","40","ESMERALDAS","Saída de leito carroçável"
"262453","1/12/2020","262","UBERABA","Saída de leito carroçável"
"262456","1/12/2020","381","CONTAGEM","Colisão traseira"
"262468","1/13/2020","381","BRUMADINHO","Capotamento"
"262472","1/13/2020","381","EXTREMA","Atropelamento de Pedestre"
"262497","1/13/2020","146","POCOS DE CALDAS","Tombamento"
"262505","1/13/2020","40","EWBANK DA CAMARA","Colisão com objeto estático"
"262535","1/13/2020","354","CAXAMBU","Queda de ocupante de veículo"
"262536","1/13/2020","381","JOAO MONLEVADE","Colisão traseira"
"262553","1/13/2020","116","TEOFILO OTONI","Colisão traseira"
"262560","1/13/2020","116","CARATINGA","Colisão traseira"
"262566","1/13/2020","262","MANHUACU","Colisão lateral"
"262570","1/13/2020","381","ITAGUARA","Tombamento"
"262576","1/13/2020","40","ESMERALDAS","Queda de ocupante de veículo"
"262580","1/13/2020","381","BETIM","Colisão transversal"
"262583","1/13/2020","267","BAEPENDI","Colisão com objeto estático"
"262586","1/13/2020","381","BETIM","Tombamento"
"262590","1/13/2020","381","PERDOES","Saída de leito carroçável"
"262593","1/13/2020","381","SAO SEBASTIAO DA BELA VISTA","Colisão traseira"
"262596","1/13/2020","459","CONGONHAL","Saída de leito carroçável"
"262602","1/13/2020","40","SANTOS DUMONT","Saída de leito carroçável"
"262604","1/13/2020","116","ALEM PARAIBA","Saída de leito carroçável"
"262616","1/13/2020","251","FRANCISCO SA","Colisão traseira"
"262622","1/13/2020","40","RIBEIRAO DAS NEVES","Queda de ocupante de veículo"
"262646","1/13/2020","381","BETIM","Colisão traseira"
"262657","1/13/2020","262","BOM DESPACHO","Colisão traseira"
"262659","1/13/2020","262","MANHUACU","Colisão traseira"
"262667","1/13/2020","381","BETIM","Atropelamento de Pedestre"
"262674","1/13/2020","116","INHAPIM","Colisão transversal"
"262694","1/13/2020","262","ARAXA","Colisão traseira"
"262704","1/14/2020","381","BETIM","Colisão traseira"
"262722","1/14/2020","381","BETIM","Incêndio"
"262729","1/14/2020","381","NEPOMUCENO","Colisão lateral"
"262752","1/14/2020","262","JUATUBA","Atropelamento de Pedestre"
"262773","1/14/2020","116","TEOFILO OTONI","Colisão traseira"
"262777","1/14/2020","381","EXTREMA","Colisão traseira"
"262806","1/14/2020","381","OLIVEIRA","Tombamento"
"262814","1/14/2020","50","UBERLANDIA","Tombamento"
"262818","1/14/2020","40","CONTAGEM","Queda de ocupante de veículo"
"262824","1/14/2020","262","MANHUACU","Saída de leito carroçável"
"262838","1/14/2020","116","MANHUACU","Colisão lateral"
"262843","1/14/2020","116","INHAPIM","Atropelamento de Pedestre"
"262844","1/14/2020","116","UBAPORANGA","Colisão transversal"
"262853","1/14/2020","40","CONTAGEM","Atropelamento de Pedestre"
"262854","1/14/2020","262","CAMPO FLORIDO","Atropelamento de Animal"
"262859","1/14/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"262861","1/14/2020","381","SAO GONCALO DO RIO ABAIXO","Colisão frontal"
"262890","1/14/2020","116","SAO JOAO DO MANHUACU","Colisão lateral"
"262908","1/15/2020","50","UBERLANDIA","Colisão transversal"
"262923","1/15/2020","50","UBERABA","Tombamento"
"262930","1/15/2020","354","POUSO ALTO","Colisão lateral"
"262932","1/15/2020","381","SABARA","Colisão frontal"
"262937","1/15/2020","381","CONTAGEM","Tombamento"
"262954","1/15/2020","381","SANTO ANTONIO DO AMPARO","Saída de leito carroçável"
"262957","1/15/2020","262","MANHUACU","Colisão traseira"
"262976","1/15/2020","381","ITAGUARA","Queda de ocupante de veículo"
"262983","1/15/2020","381","SAO GONCALO DO RIO ABAIXO","Tombamento"
"262997","1/15/2020","262","CAMPOS ALTOS","Colisão traseira"
"262998","1/15/2020","262","CORREGO DANTA","Saída de leito carroçável"
"263000","1/15/2020","381","BETIM","Colisão traseira"
"263016","1/2/2020","40","SANTOS DUMONT","Colisão frontal"
"263021","1/15/2020","40","SETE LAGOAS","Saída de leito carroçável"
"263024","1/15/2020","381","BRUMADINHO","Atropelamento de Pedestre"
"263030","1/15/2020","40","RIBEIRAO DAS NEVES","Atropelamento de Pedestre"
"263033","1/15/2020","251","AGUAS VERMELHAS","Colisão lateral"
"263041","1/15/2020","262","LUZ","Colisão frontal"
"263043","1/15/2020","381","CAREACU","Saída de leito carroçável"
"263044","1/15/2020","116","ITAMBACURI","Saída de leito carroçável"
"263054","1/16/2020","40","CONTAGEM","Atropelamento de Pedestre"
"263057","1/16/2020","381","CAMPANHA","Derramamento de carga"
"263061","1/16/2020","381","CAMBUI","Colisão traseira"
"263065","1/16/2020","116","ITAMBACURI","Saída de leito carroçável"
"263074","1/16/2020","153","PRATA","Saída de leito carroçável"
"263082","1/16/2020","146","CABO VERDE","Colisão lateral"
"263083","1/16/2020","50","UBERABA","Colisão lateral"
"263087","1/16/2020","40","BELO HORIZONTE","Atropelamento de Pedestre"
"263096","1/16/2020","381","BETIM","Incêndio"
"263100","1/16/2020","381","PERDOES","Tombamento"
"263104","1/16/2020","381","OLIVEIRA","Saída de leito carroçável"
"263117","1/16/2020","381","JOAO MONLEVADE","Colisão frontal"
"263121","1/16/2020","381","BETIM","Colisão lateral"
"263147","1/16/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"263149","1/16/2020","40","NOVA LIMA","Saída de leito carroçável"
"263152","1/16/2020","116","MANHUACU","Saída de leito carroçável"
"263172","1/16/2020","381","TRES CORACOES","Saída de leito carroçável"
"263186","1/16/2020","381","EXTREMA","Capotamento"
"263194","1/16/2020","251","GRAO MOGOL","Tombamento"
"263195","1/16/2020","381","ANTONIO DIAS","Colisão traseira"
"263216","1/16/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"263217","1/16/2020","262","JUATUBA","Colisão traseira"
"263229","1/16/2020","381","BETIM","Colisão traseira"
"263232","1/16/2020","116","DIVINO","Colisão transversal"
"263253","1/17/2020","262","LUZ","Colisão frontal"
